,,TOTAL,342,TIME,BEATS,,,,,
,,,,,,,,,,
,,,,,,,,,,
TBB-50449 TBB-51512 TBB-50566 TBB-50610 TBB-50595 TBB-50617 TBB-50532 TBB-50531 TBB-50593 TBB-50627 TBB-50553 TBB-50431 TBB-50600 TBB-50642 TBB-50569 TBB-50788 TBB-64481 TBB-51941 TBB-51940 TBB-50786 TBB-50785 TBB-50792 TBB-50787 TBB-50486 TBB-50620 TBB-50592 TBB-50532 TBB-50595 TBB-50531 TBB-50600 TBB-50587 TBB-50483 TBB-50464 TBB-50588 TBB-50526 TBB-50625 TBB-50643 TBB-50428 TBB-50646 TBB-50485 TBB-50645 TBB-50538 TBB-50529 TBB-50530 TBB-50433 TBB-50439 TBB-50432 TBB-50427 TBB-50644 TBB-50481 TBB-50554 TBB-50446 TBB-50649 TBB-50488 TBB-50478 TBB-50425 TBB-50461 TBB-50428 TBB-50439 TBB-50432 TBB-50446 TBB-50461 TBB-50452 TBB-51782 TBB-54212 TBB-50594 TBB-50479 TBB-50548 TBB-54213 TBB-50480 TBB-50482 TBB-53249 TBB-50378 TBB-51660 TBB-50430 TBB-50379 TBB-50430,,OPEN,77,,,,,,,
TBB-63884 TBB-63938 TBB-63982 TBB-63983 TBB-63984 TBB-63986 TBB-64260 TBB-64261 TBB-64262 TBB-64264 TBB-64445 TBB-64478 TBB-64479 TBB-64485 TBB-64487 TBB-64489 TBB-64492 TBB-64591 TBB-64690 TBB-64716 TBB-64753 TBB-64754 TBB-64768 TBB-65316 TBB-64486,,CLOSED,recheck after OPS-251799,,,,,,,
TBB-51666  TBB-51807 TBB-51620 TBB-51729 TBB-51616 TBB-51688 TBB-51708 TBB-51619 TBB-51618 TBB-66017 TBB-53723 TBB-51539 TBB-51664 TBB-51808 TBB-51835,,IN PROGRESS,16,,,,,,,
TBB-41506 TBB-41547,,RESOLVED,2,,,,,,,
TBB-55248,,OPEN,1,,,,,,,
TBB-51205 TBB-51198,,OPEN,2,,,,,,,
TBB-39844,,OPEN,1,,,,,,,
ATBB-65415 ATBB-65450 ATBB-66030 ATBB-65619 ATBB-64476 ATBB-65466 ATBB-65420 ATBB-65416 ATBB-65411 ATBB-65456 ATBB-65807 ATBB-65795 ATBB-65440 ATBB-65454 ATBB-65811 ATBB-66152 ATBB-65799 ATBB-65407 ATBB-65453 ATBB-65435 ATBB-65451 ATBB-65460 ATBB-66149 ATBB-65462 ATBB-65444 ATBB-65461 ATBB-65459 ATBB-65396 ATBB-65431 ATBB-65976 ATBB-65977 TBB-68230 ATBB-65443 ATBB-65467,,RESOLVED,34,2d,TBB-66024 TBB-13128 TBB-49043 same ? ,,,,,
"more than 350 test cases , workaround exist",,OPEN,,,,,,,,
TBB-54440 TBB-49628 TBB-51099 TBB-55239,,IN PROGRESS,4,2h,http://beats.int.ringcentral.com:8000/go/3rJZhDoS204S,,,,,
TBB-37390 TBB-37256 TBB-37244 TBB-37277 TBB-37392,,OPEN,5,2h,http://beats.int.ringcentral.com:8000/go/wtGZNtB0h7LG,,,,,
